CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
00000000000000,Statewide,T,N,MAL,0,1068,474,44.38,487,45.60,*,0.40,99,9.30,*,0.40,1011
00000000000000,Statewide,T,N,All,3,3353,2511,74.89,594,17.70,*,0.20,235,7.00,*,0.10,1011
00000000000000,Statewide,T,N,MAL,9,3241,2518,77.69,428,13.20,16,0.50,254,7.80,25,0.80,1011
00000000000000,Statewide,T,N,FEM,4,6646,6126,92.18,336,5.10,19,0.30,161,2.40,*,0.10,1011
00000000000000,Statewide,T,N,MAL,4,7136,6259,87.71,545,7.60,35,0.50,287,4.00,*,0.10,1011
00000000000000,Statewide,T,N,MAL,2,23129,20454,88.43,1671,7.20,85,0.40,872,3.80,47,0.20,1011
00000000000000,Statewide,T,N,All,7,147971,126743,85.65,13204,8.90,677,0.50,6937,4.70,410,0.30,1011
00000000000000,Statewide,T,N,MAL,All,257227,188237,73.18,44245,17.20,1478,0.60,22391,8.70,876,0.30,1011
01000000000000,Alameda,O,N,MIG,All,214,142,66.36,38,17.80,*,0.90,31,14.50,*,0.50,1011
01000000000000,Alameda,O,N,MAL,5,2300,1464,63.65,581,25.30,*,0.40,233,10.10,12,0.50,1011
01000000000000,Alameda,O,N,FEM,2,1650,1531,92.79,74,4.50,*,0.40,37,2.20,*,0.10,1011
01000000000000,Alameda,O,N,All,5,4663,3212,68.88,993,21.30,21,0.50,422,9.00,15,0.30,1011
01000000000000,Alameda,O,N,SD,All,8862,5992,67.61,1960,22.10,66,0.70,814,9.20,30,0.30,1011
01100170000000,Alameda County Office of Education,D,N,MAL,9,152,112,73.68,26,17.10,*,0.00,14,9.20,*,0.00,1011
01100170000000,Alameda County Office of Education,D,N,MAL,4,471,405,85.99,42,8.90,*,0.00,24,5.10,*,0.00,1011
01100170000000,Alameda County Office of Education,D,N,MAL,7,2146,1865,86.91,180,8.40,*,0.50,85,4.00,*,0.30,1011
01100170109835,FAME Public Charter,D,Y,MAL,6,*,*,33.33,*,33.30,*,0.00,*,33.30,*,0.00,1011
01100170109835,FAME Public Charter,D,Y,All,0,*,*,25.00,*,75.00,*,0.00,*,0.00,*,0.00,1011
01100170109835,FAME Public Charter,S,Y,All,3,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1011
01100170109835,FAME Public Charter,D,Y,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1011
01100170109835,FAME Public Charter,S,Y,All,2,*,*,80.00,*,10.00,*,0.00,*,10.00,*,0.00,1011
