CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
37681063730058,San Pasqual High,S,N,FEM,4,11,11,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
37681063730058,San Pasqual High,S,N,FEM,5,133,120,90.23,*,5.30,*,0.80,*,3.80,*,0.00,1213
37681063730058,San Pasqual High,S,N,FEM,1,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
37681063730058,San Pasqual High,S,N,FEM,7,126,121,96.03,*,1.60,*,1.60,*,0.80,*,0.00,1213
37681063732062,Escondido High,S,N,FEM,2,11,11,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
37681063732062,Escondido High,S,N,FEM,6,11,*,90.91,*,9.10,*,0.00,*,0.00,*,0.00,1213
37681063732062,Escondido High,S,N,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313033057,Katella High,S,N,FEM,9,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313033057,Katella High,S,N,FEM,7,13,13,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313038239,Western High,S,N,FEM,2,40,38,95.00,*,2.50,*,0.00,*,2.50,*,0.00,1213
30664313038239,Western High,S,N,FEM,6,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313038239,Western High,S,N,FEM,4,21,21,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313038239,Western High,S,N,FEM,5,151,145,96.03,*,2.60,*,0.70,*,0.70,*,0.00,1213
30664313038239,Western High,S,N,FEM,3,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313038239,Western High,S,N,FEM,9,*,*,71.43,*,0.00,*,28.60,*,0.00,*,0.00,1213
30664313038239,Western High,S,N,FEM,7,28,27,96.43,*,0.00,*,0.00,*,3.60,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,2,*,*,33.33,*,33.30,*,0.00,*,33.30,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,6,*,*,71.43,*,28.60,*,0.00,*,0.00,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,5,30,20,66.67,*,26.70,*,0.00,*,6.70,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,9,17,14,82.35,*,5.90,*,0.00,*,11.80,*,0.00,1213
30664640106765,Capistrano Connections Academy,S,Y,FEM,7,44,33,75.00,*,15.90,*,0.00,*,6.80,*,2.30,1213
30664643030210,Capistrano Valley High,S,N,FEM,2,13,13,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664643030210,Capistrano Valley High,S,N,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664643030210,Capistrano Valley High,S,N,FEM,5,101,100,99.01,*,1.00,*,0.00,*,0.00,*,0.00,1213
30664643030210,Capistrano Valley High,S,N,FEM,9,22,22,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664643030210,Capistrano Valley High,S,N,FEM,7,193,187,96.89,*,3.10,*,0.00,*,0.00,*,0.00,1213
36750443630811,Shadow Ridge,S,N,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
36750443630811,Shadow Ridge,S,N,FEM,6,*,*,50.00,*,0.00,*,0.00,*,50.00,*,0.00,1213
36750443630811,Shadow Ridge,S,N,FEM,5,*,*,55.56,*,33.30,*,0.00,*,11.10,*,0.00,1213
36750443630811,Shadow Ridge,S,N,FEM,7,*,*,66.67,*,0.00,*,0.00,*,33.30,*,0.00,1213
36750773631009,High Desert Premier Academy,S,N,FEM,6,*,*,0.00,*,77.80,*,0.00,*,22.20,*,0.00,1213
36750773631009,High Desert Premier Academy,S,N,FEM,5,14,*,0.00,*,64.30,*,0.00,*,35.70,*,0.00,1213
36750773631009,High Desert Premier Academy,S,N,FEM,3,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,1213
36750773631009,High Desert Premier Academy,S,N,FEM,7,*,*,0.00,*,70.00,*,0.00,*,30.00,*,0.00,1213
30664313034204,Magnolia High,S,N,FEM,9,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1213
30664313034204,Magnolia High,S,N,FEM,7,16,14,87.50,*,12.50,*,0.00,*,0.00,*,0.00,1213
30664313036712,Savanna High,S,N,FEM,2,19,18,94.74,*,0.00,*,0.00,*,5.30,*,0.00,1213
