name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
CDS,14,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Name,67,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"University City High,San Ysidro High,Guajome Park Academy Charter,Oceanside High,Rancho Cotate High,Windsor High,Healdsburg High,Whitmore Charter High,Central Valley High,James C. Enochs High,Saratoga High,Live Oak High,Wilson Alternative,Milpitas High,Diamond Bar High,Walnut High,Opportunities For Learning - Fresno,Opportunities for Learning - Hermosa Beach,Options for Youth-San Bernardino,Owens Valley Unified"
AggLevel,1,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"S,D,O"
DFC,1,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"N,Y"
Subgroup,3,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"MAL,FEM,All,SE,SD,MIG,EL"
Subgrouptype,3,<type 'str'>,False,5001,3980,0,1021,0,0,0,0,All
NumCohort,6,<type 'str'>,False,5001,2837,0,2164,0,0,0,0,*
NumGraduates,5,<type 'str'>,False,5001,2621,0,2380,0,0,0,0,*
Cohort Graduation Rate,6,<type 'float'>,False,5001,2259,2742,0,0,0,0,0,
NumDropouts,5,<type 'str'>,False,5001,1248,0,3753,0,0,0,0,*
Cohort Dropout Rate,6,<type 'float'>,False,5001,2571,2430,0,0,0,0,0,
NumSpecialEducation,3,<type 'str'>,False,5001,330,0,4671,0,0,0,0,*
Special Ed Completers Rate,6,<type 'float'>,False,5001,3851,1150,0,0,0,0,0,
NumStillEnrolled,5,<type 'str'>,False,5001,911,0,4090,0,0,0,0,*
Still Enrolled Rate,6,<type 'float'>,False,5001,2925,2076,0,0,0,0,0,
NumGED,3,<type 'str'>,False,5001,82,0,4919,0,0,0,0,*
GED Rate,6,<type 'float'>,False,5001,4542,459,0,0,0,0,0,
Year,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
