CDS,Name,AggLevel,DFC,Subgroup,Subgrouptype,NumCohort,NumGraduates,Cohort Graduation Rate,NumDropouts,Cohort Dropout Rate,NumSpecialEducation,Special Ed Completers Rate,NumStillEnrolled,Still Enrolled Rate,NumGED,GED Rate,Year
19647330126524,Linda Esperanza Marquez High B LIBRA Academy,S,N,MAL,5,41,35,85.37,*,12.20,*,0.00,*,2.40,*,0.00,1314
12629011234004,Hoopa Valley High,S,N,FEM,5,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
12755150000000,District Office,S,N,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
10621661030279,Bullard High,S,N,FEM,9,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
10621661030642,School of Unlimited Learning,S,Y,FEM,5,29,*,27.59,12,41.40,*,0.00,*,31.00,*,0.00,1314
15637680124842,California Pacific Charter School of Kern,S,Y,FEM,6,*,*,12.50,*,87.50,*,0.00,*,0.00,*,0.00,1314
15637680124842,California Pacific Charter School of Kern,S,Y,FEM,3,*,*,0.00,*,100.00,*,0.00,*,0.00,*,0.00,1314
16638750112698,California Virtual Academy @ Kings,S,Y,FEM,6,*,*,83.33,*,0.00,*,0.00,*,16.70,*,0.00,1314
16638910120154,California Pacific Charter School of Central California,S,Y,FEM,5,*,*,0.00,*,66.70,*,0.00,*,33.30,*,0.00,1314
16639250118919,Sierra Pacific High,S,N,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
16639250118919,Sierra Pacific High,S,N,FEM,7,38,38,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
16639251630169,Hanford West High,S,N,FEM,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
16639251630169,Hanford West High,S,N,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
16639251630169,Hanford West High,S,N,FEM,9,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
13631641335900,Imperial High,S,N,FEM,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736353030392,Trabuco Hills High,S,N,MAL,7,231,228,98.70,*,0.40,*,0.00,*,0.90,*,0.00,1314
31669283136504,Roseville High,S,N,MAL,4,14,14,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
31669443130010,North Tahoe High,S,N,MAL,1,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
31669513134657,Lincoln High,S,N,MAL,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
31669513134657,Lincoln High,S,N,MAL,7,106,97,91.51,*,6.60,*,0.90,*,0.90,*,0.00,1314
31750850108084,Whitney High,S,N,MAL,2,13,13,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
31750850108084,Whitney High,S,N,MAL,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
31750850108084,Whitney High,S,N,MAL,9,14,14,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
33669930000001,"Non-public, non-sectarian schools",S,N,MAL,5,*,*,0.00,*,0.00,*,0.00,*,100.00,*,0.00,1314
33670330110759,John F. Kennedy High,S,N,MAL,2,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
33670330110759,John F. Kennedy High,S,N,MAL,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
33670333330446,Centennial High,S,N,MAL,6,41,41,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736433032109,Foothill High,S,N,MAL,6,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736503030152,Irvine High,S,N,MAL,0,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736503030152,Irvine High,S,N,MAL,4,*,*,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736503030152,Irvine High,S,N,MAL,9,13,13,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30736503030285,Woodbridge High,S,N,MAL,5,28,28,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
30739243033917,Los Alamitos High,S,N,MAL,4,13,13,100.00,*,0.00,*,0.00,*,0.00,*,0.00,1314
