Ccode,Dcode,CharterNum,Scode,cds_code,county,district,School
00,00000,0000,0000000,00000000000000,Statewide,Statewide,State of California
01,00000,0000,0000000,01000000000000,Alameda,Alameda County,Alameda County
01,10017,0000,0000000,01100170000000,ALAMEDA,ALAMEDA COUNTY OFFICE OF EDUCA,ALAMEDA COUNTY OFFICE OF EDUCA
01,10017,0000,0130419,01100170130419,ALAMEDA,ALAMEDA COUNTY OFFICE OF EDUCA,ALAMEDA COUNTY COMMUNITY
01,10017,0000,0130427,01100170130427,ALAMEDA,ALAMEDA COUNTY OFFICE OF EDUCA,ALAMEDA COUNTY ALTERNATIVE/OPPORTUN
01,31617,0000,0000000,01316170000000,ALAMEDA,CALIFORNIA SCHOOL FOR THE DEAF,CALIFORNIA SCHOOL FOR THE DEAF
01,31617,0000,0131763,01316170131763,ALAMEDA,CALIFORNIA SCHOOL FOR THE DEAF,CALIFORNIA SCHOOL FOR THE DEAF-NORTH
01,61119,0000,0000000,01611190000000,ALAMEDA,ALAMEDA CITY UNIFIED,ALAMEDA CITY UNIFIED
01,61119,0000,0106401,01611190106401,ALAMEDA,ALAMEDA CITY UNIFIED,ALAMEDA SCIENCE AND TECHNOLOGY INST
01,61119,0000,0130229,01611190130229,ALAMEDA,ALAMEDA CITY UNIFIED,ALAMEDA HIGH
01,61119,0000,0130609,01611190130609,ALAMEDA,ALAMEDA CITY UNIFIED,ARTHUR ANDERSON COMMUNITY LEARNING
01,61119,0000,0132878,01611190132878,ALAMEDA,ALAMEDA CITY UNIFIED,ENCINAL HIGH
01,61119,0000,6000004,01611196000004,ALAMEDA,ALAMEDA CITY UNIFIED,CHIPMAN MIDDLE
01,61119,0000,6090005,01611196090005,ALAMEDA,ALAMEDA CITY UNIFIED,LUM (DONALD D.) ELEMENTARY
01,61119,0000,6090013,01611196090013,ALAMEDA,ALAMEDA CITY UNIFIED,EDISON ELEMENTARY
01,61119,0000,6090021,01611196090021,ALAMEDA,ALAMEDA CITY UNIFIED,OTIS (FRANK) ELEMENTARY
01,61119,0000,6090039,01611196090039,ALAMEDA,ALAMEDA CITY UNIFIED,FRANKLIN ELEMENTARY
01,61119,0000,6090047,01611196090047,ALAMEDA,ALAMEDA CITY UNIFIED,HAIGHT ELEMENTARY
01,61119,0000,6090054,01611196090054,ALAMEDA,ALAMEDA CITY UNIFIED,LINCOLN MIDDLE
01,61119,0000,6090062,01611196090062,ALAMEDA,ALAMEDA CITY UNIFIED,LONGFELLOW ELEMENTARY
01,61119,0000,6090088,01611196090088,ALAMEDA,ALAMEDA CITY UNIFIED,MILLER (GEORGE P.) ELEMENTARY
01,61119,0000,6090104,01611196090104,ALAMEDA,ALAMEDA CITY UNIFIED,WASHINGTON ELEMENTARY
01,61119,0000,6090112,01611196090112,ALAMEDA,ALAMEDA CITY UNIFIED,WOOD (WILL C.) MIDDLE
01,61119,0000,6090120,01611196090120,ALAMEDA,ALAMEDA CITY UNIFIED,PADEN (WILLIAM G.) ELEMENTARY
01,61119,0000,6090138,01611196090138,ALAMEDA,ALAMEDA CITY UNIFIED,WOODSTOCK ELEMENTARY
01,61119,0000,6100374,01611196100374,ALAMEDA,ALAMEDA CITY UNIFIED,EARHART (AMELIA) ELEMENTARY
01,61119,0000,6110779,01611196110779,ALAMEDA,ALAMEDA CITY UNIFIED,BAY FARM ELEMENTARY
01,61119,0398,0000000,01611190000000,ALAMEDA,BAY AREA SCHOOL OF ENTERPRISE,BAY AREA SCHOOL OF ENTERPRISE
01,61119,0398,0130625,01611190130625,ALAMEDA,BAY AREA SCHOOL OF ENTERPRISE,BAY AREA SCHOOL OF ENTERPRISE
01,61127,0000,0000000,01611270000000,ALAMEDA,ALBANY CITY UNIFIED,ALBANY CITY UNIFIED
01,61127,0000,0130450,01611270130450,ALAMEDA,ALBANY CITY UNIFIED,ALBANY HIGH
01,61127,0000,6090146,01611276090146,ALAMEDA,ALBANY CITY UNIFIED,CORNELL ELEMENTARY
01,61127,0000,6090161,01611276090161,ALAMEDA,ALBANY CITY UNIFIED,ALBANY MIDDLE
01,61127,0000,6095376,01611276095376,ALAMEDA,ALBANY CITY UNIFIED,MARIN ELEMENTARY
01,61127,0000,6116222,01611276116222,ALAMEDA,ALBANY CITY UNIFIED,OCEAN VIEW ELEMENTARY
01,61143,0000,0000000,01611430000000,ALAMEDA,BERKELEY UNIFIED,BERKELEY UNIFIED
01,61143,0000,0000001,01611430000001,Alameda,Berkeley Unified,Berkeley Unified Programs
01,61143,0000,0131177,01611430131177,ALAMEDA,BERKELEY UNIFIED,BERKELEY HIGH
01,61143,0000,0134924,01611430134924,ALAMEDA,BERKELEY UNIFIED,BERKELEY ALTERNATIVE HIGH
01,61143,0000,6056857,01611436056857,ALAMEDA,BERKELEY UNIFIED,KING MIDDLE
01,61143,0000,6056865,01611436056865,ALAMEDA,BERKELEY UNIFIED,WILLARD MIDDLE
01,61143,0000,6090187,01611436090187,ALAMEDA,BERKELEY UNIFIED,PARKS (ROSA) ENVIRONMENTAL SCIENCE
01,61143,0000,6090195,01611436090195,ALAMEDA,BERKELEY UNIFIED,CRAGMONT ELEMENTARY
01,61143,0000,6090211,01611436090211,ALAMEDA,BERKELEY UNIFIED,EMERSON ELEMENTARY
01,61143,0000,6090252,01611436090252,ALAMEDA,BERKELEY UNIFIED,JEFFERSON ELEMENTARY
01,61143,0000,6090278,01611436090278,ALAMEDA,BERKELEY UNIFIED,LECONTE ELEMENTARY
01,61143,0000,6090286,01611436090286,ALAMEDA,BERKELEY UNIFIED,MALCOLM X ELEMENTARY
01,61143,0000,6090294,01611436090294,ALAMEDA,BERKELEY UNIFIED,LONGFELLOW ARTS AND TECHNOLOGY MIDD
01,61143,0000,6090302,01611436090302,ALAMEDA,BERKELEY UNIFIED,OXFORD ELEMENTARY
01,61143,0000,6090310,01611436090310,ALAMEDA,BERKELEY UNIFIED,THOUSAND OAKS ELEMENTARY
01,61143,0000,6090328,01611436090328,ALAMEDA,BERKELEY UNIFIED,WASHINGTON ELEMENTARY
01,61143,0000,6097729,01611436097729,ALAMEDA,BERKELEY UNIFIED,WHITTIER/ARTS
01,61143,0000,6105316,01611436105316,ALAMEDA,BERKELEY UNIFIED,MUIR (JOHN) ELEMENTARY
01,61150,0000,0000000,01611500000000,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY UNIFIED
01,61150,0000,0132225,01611500132225,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY HIGH
01,61150,0000,6090351,01611506090351,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY ELEMENTARY
01,61150,0000,6090369,01611506090369,ALAMEDA,CASTRO VALLEY UNIFIED,CHABOT ELEMENTARY
01,61150,0000,6090385,01611506090385,ALAMEDA,CASTRO VALLEY UNIFIED,CREEKSIDE MIDDLE
01,61150,0000,6090393,01611506090393,ALAMEDA,CASTRO VALLEY UNIFIED,INDEPENDENT ELEMENTARY
01,61150,0000,6090401,01611506090401,ALAMEDA,CASTRO VALLEY UNIFIED,MARSHALL ELEMENTARY
