Ccode,Dcode,Scode,cds_code,County,District,School
00,00000,0000000,00000000000000,Statewide,Statewide,State of California
01,00000,0000000,01000000000000,Alameda,Alameda County,Alameda County
01,61119,0000000,01611190000000,Alameda,Alameda City Unified,Alameda City Unified
01,61119,0130229,01611190130229,Alameda,Alameda City Unified,Alameda High
01,61119,0132878,01611190132878,Alameda,Alameda City Unified,Encinal High
01,61119,6000004,01611196000004,Alameda,Alameda City Unified,Chipman Middle
01,61119,6090005,01611196090005,Alameda,Alameda City Unified,Donald D. Lum Elementary
01,61119,6090013,01611196090013,Alameda,Alameda City Unified,Edison Elementary
01,61119,6090021,01611196090021,Alameda,Alameda City Unified,Frank Otis Elementary
01,61119,6090039,01611196090039,Alameda,Alameda City Unified,Franklin Elementary
01,61119,6090047,01611196090047,Alameda,Alameda City Unified,Henry Haight Elementary
01,61119,6090054,01611196090054,Alameda,Alameda City Unified,Lincoln Middle
01,61119,6090062,01611196090062,Alameda,Alameda City Unified,Longfellow Elementary
01,61119,6090088,01611196090088,Alameda,Alameda City Unified,George P. Miller Elementary
01,61119,6090104,01611196090104,Alameda,Alameda City Unified,Washington Elementary
01,61119,6090112,01611196090112,Alameda,Alameda City Unified,Will C. Wood Middle
01,61119,6090120,01611196090120,Alameda,Alameda City Unified,William G. Paden Elementary
01,61119,6090138,01611196090138,Alameda,Alameda City Unified,Woodstock Elementary
01,61119,6100374,01611196100374,Alameda,Alameda City Unified,Amelia Earhart Elementary
01,61119,6110779,01611196110779,Alameda,Alameda City Unified,Bay Farm Elementary
01,61150,0000000,01611500000000,Alameda,Castro Valley Unified,Castro Valley Unified
01,61150,0132225,01611500132225,Alameda,Castro Valley Unified,Castro Valley High
01,61150,6090351,01611506090351,Alameda,Castro Valley Unified,Castro Valley Elementary
01,61150,6090369,01611506090369,Alameda,Castro Valley Unified,Chabot Elementary
01,61150,6090385,01611506090385,Alameda,Castro Valley Unified,Creekside Middle
01,61150,6090393,01611506090393,Alameda,Castro Valley Unified,Independent Elementary
01,61150,6090401,01611506090401,Alameda,Castro Valley Unified,Marshall Elementary
01,61150,6090419,01611506090419,Alameda,Castro Valley Unified,Palomares Elementary
01,61150,6090435,01611506090435,Alameda,Castro Valley Unified,Proctor Elementary
01,61150,6090468,01611506090468,Alameda,Castro Valley Unified,Stanton Elementary
01,61150,6090484,01611506090484,Alameda,Castro Valley Unified,Vannoy Elementary
01,61150,6097653,01611506097653,Alameda,Castro Valley Unified,Canyon Middle
01,61150,6113005,01611506113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary
01,61168,0000000,01611680000000,Alameda,Emery Unified,Emery Unified
01,61168,0132746,01611680132746,Alameda,Emery Unified,Emery Secondary
01,61168,6090492,01611686090492,Alameda,Emery Unified,Anna Yates Elementary
01,61168,6113450,01611686113450,Alameda,Emery Unified,Emery Middle
01,61176,0000000,01611760000000,Alameda,Fremont Unified,Fremont Unified
01,61176,0130062,01611760130062,Alameda,Fremont Unified,American High
01,61176,0134270,01611760134270,Alameda,Fremont Unified,Irvington High
