Level,SubGrp,RptType,line_num,Ccode,Dcode,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000000,00000000000000,464850, 56.6, 43.4,426119, 57.7, 42.3,378246, 47.6, 52.4
4,0,1,2,00,00000,0000000,00000000000000,464850, 66.3, 33.7,426119, 66.4, 33.6,378246, 64.8, 35.2
4,0,1,3,00,00000,0000000,00000000000000,464850, 78.3, 21.7,426119, 80.8, 19.2,378246, 77.9, 22.1
4,0,1,4,00,00000,0000000,00000000000000,464850, 84.2, 15.8,426119, 86.5, 13.5,378246, 79.9, 20.1
4,0,1,5,00,00000,0000000,00000000000000,464850, 62.6, 37.4,426119, 62.3, 37.7,378246, 61.2, 38.8
4,0,1,6,00,00000,0000000,00000000000000,464850, 63.7, 36.3,426119, 69.4, 30.6,378246, 65.6, 34.4
4,0,2,1,00,00000,0000000,00000000000000,103757, 22.3, 22.3,110859, 26.0, 26.0,86115, 22.8, 22.8
4,0,2,2,00,00000,0000000,00000000000000,119325, 25.7, 48.0,111519, 26.2, 52.2,95428, 25.2, 48.0
4,0,2,3,00,00000,0000000,00000000000000,98341, 21.2, 69.1,83886, 19.7, 71.9,73897, 19.5, 67.5
4,0,2,4,00,00000,0000000,00000000000000,68210, 14.7, 83.8,56002, 13.1, 85.0,48712, 12.9, 80.4
4,0,2,5,00,00000,0000000,00000000000000,39427,  8.5, 92.3,31376,  7.4, 92.4,26256,  6.9, 87.4
4,0,2,6,00,00000,0000000,00000000000000,17683,  3.8, 96.1,13818,  3.2, 95.6,13178,  3.5, 90.8
4,0,2,7,00,00000,0000000,00000000000000,18107,  3.9,100.0,18659,  4.4,100.0,34660,  9.2,100.0
4,0,2,8,00,00000,0000000,00000000000000,464850,100.0, ,426119,100.0, ,378246,100.0, 
4,1,3,1,00,00000,0000000,00000000000000,225971, 48.6,  0.0,207172, 48.6,  0.0,182949, 48.4,  0.0
4,1,3,2,00,00000,0000000,00000000000000,234059, 50.4,  0.0,214620, 50.4,  0.0,191775, 50.7,  0.0
4,1,3,3,00,00000,0000000,00000000000000,4820,  1.0,  0.0,4327,  1.0,  0.0,3522,  0.9,  0.0
4,2,1,1,00,00000,0000000,00000000000000,225971, 57.6, 42.4,207172, 59.3, 40.7,182949, 43.5, 56.5
