Level,SubGrp,RptType,line_num,Ccode,Dcode,charternum,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000,0000000,00000000000000,472200, 58.5, 41.5,462811, 59.2, 40.8,413409, 49.7, 50.3
4,0,1,2,00,00000,0000,0000000,00000000000000,472200, 67.5, 32.5,462811, 67.1, 32.9,413409, 67.1, 32.9
4,0,1,3,00,00000,0000,0000000,00000000000000,472200, 80.8, 19.2,462811, 83.5, 16.5,413409, 80.7, 19.3
4,0,1,4,00,00000,0000,0000000,00000000000000,472200, 87.0, 13.0,462811, 88.8, 11.2,413409, 83.0, 17.0
4,0,1,5,00,00000,0000,0000000,00000000000000,472200, 66.5, 33.5,462811, 67.7, 32.3,413409, 67.5, 32.5
4,0,1,6,00,00000,0000,0000000,00000000000000,472200, 66.4, 33.6,462811, 72.3, 27.7,413409, 69.1, 30.9
4,0,2,1,00,00000,0000,0000000,00000000000000,116874, 24.8, 24.8,134680, 29.1, 29.1,108633, 26.3, 26.3
4,0,2,2,00,00000,0000,0000000,00000000000000,123906, 26.2, 51.0,121505, 26.3, 55.4,106929, 25.9, 52.1
4,0,2,3,00,00000,0000,0000000,00000000000000,98754, 20.9, 71.9,88794, 19.2, 74.5,78401, 19.0, 71.1
4,0,2,4,00,00000,0000,0000000,00000000000000,67914, 14.4, 86.3,59684, 12.9, 87.4,50914, 12.3, 83.4
4,0,2,5,00,00000,0000,0000000,00000000000000,38956,  8.2, 94.5,32897,  7.1, 94.5,28442,  6.9, 90.3
4,0,2,6,00,00000,0000,0000000,00000000000000,17361,  3.7, 98.2,14483,  3.1, 97.7,14739,  3.6, 93.9
4,0,2,7,00,00000,0000,0000000,00000000000000,8435,  1.8,100.0,10768,  2.3,100.0,25351,  6.1,100.0
4,0,2,8,00,00000,0000,0000000,00000000000000,472200,100.0, ,462811,100.0, ,413409,100.0, 
4,1,3,1,00,00000,0000,0000000,00000000000000,230860, 48.9,  0.0,227312, 49.1,  0.0,201569, 48.8,  0.0
4,1,3,2,00,00000,0000,0000000,00000000000000,241307, 51.1,  0.0,235462, 50.9,  0.0,211802, 51.2,  0.0
4,1,3,3,00,00000,0000,0000000,00000000000000,33,  0.0,  0.0,37,  0.0,  0.0,38,  0.0,  0.0
4,2,1,1,00,00000,0000,0000000,00000000000000,230860, 59.8, 40.2,227312, 61.2, 38.8,201569, 46.1, 53.9
4,2,1,2,00,00000,0000,0000000,00000000000000,230860, 76.4, 23.6,227312, 73.1, 26.9,201569, 69.3, 30.7
4,2,1,3,00,00000,0000,0000000,00000000000000,230860, 80.2, 19.8,227312, 83.0, 17.0,201569, 80.8, 19.2
4,2,1,4,00,00000,0000,0000000,00000000000000,230860, 87.7, 12.3,227312, 89.6, 10.4,201569, 84.1, 15.9
4,2,1,5,00,00000,0000,0000000,00000000000000,230860, 63.0, 37.0,227312, 66.1, 33.9,201569, 66.2, 33.8
4,2,1,6,00,00000,0000,0000000,00000000000000,230860, 69.8, 30.2,227312, 75.8, 24.2,201569, 70.5, 29.5
4,2,2,1,00,00000,0000,0000000,00000000000000,61542, 26.7, 26.7,71088, 31.3, 31.3,51028, 25.3, 25.3
4,2,2,2,00,00000,0000,0000000,00000000000000,62520, 27.1, 53.7,61050, 26.9, 58.1,52854, 26.2, 51.5
