Level,SubGrp,RptType,line_num,Ccode,Dcode,charternum,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000,0000000,00000000000000,447863, 65.4, 34.6,444024, 67.1, 32.9,454905, 64.1, 35.9
4,0,1,2,00,00000,0000,0000000,00000000000000,447863, 68.5, 31.5,444024, 68.8, 31.2,454905, 71.3, 28.7
4,0,1,3,00,00000,0000,0000000,00000000000000,447863, 79.4, 20.6,444024, 85.3, 14.7,454905, 87.0, 13.0
4,0,1,4,00,00000,0000,0000000,00000000000000,447863, 88.2, 11.8,444024, 90.3,  9.7,454905, 91.7,  8.3
4,0,1,5,00,00000,0000,0000000,00000000000000,447863, 69.5, 30.5,444024, 72.7, 27.3,454905, 77.4, 22.6
4,0,1,6,00,00000,0000,0000000,00000000000000,447863, 71.1, 28.9,444024, 78.7, 21.3,454905, 82.7, 17.3
4,0,2,1,00,00000,0000,0000000,00000000000000,129765, 29.0, 29.0,155336, 35.0, 35.0,176184, 38.7, 38.7
4,0,2,2,00,00000,0000,0000000,00000000000000,118458, 26.4, 55.4,118878, 26.8, 61.8,124852, 27.4, 66.1
4,0,2,3,00,00000,0000,0000000,00000000000000,87318, 19.5, 74.9,78820, 17.8, 79.6,72339, 15.9, 82.0
4,0,2,4,00,00000,0000,0000000,00000000000000,58450, 13.1, 88.0,49516, 11.2, 90.8,43598,  9.6, 91.6
4,0,2,5,00,00000,0000,0000000,00000000000000,34550,  7.7, 95.7,27199,  6.1, 96.9,22619,  5.0, 96.6
4,0,2,6,00,00000,0000,0000000,00000000000000,15546,  3.5, 99.2,11212,  2.5, 99.4,10224,  2.2, 98.8
4,0,2,7,00,00000,0000,0000000,00000000000000,3776,  0.8,100.0,3063,  0.7,100.0,5089,  1.1, 99.9
4,0,2,8,00,00000,0000,0000000,00000000000000,447863,100.0, ,444024,100.0, ,454905,100.0, 
4,1,3,1,00,00000,0000,0000000,00000000000000,218518, 48.8,  0.0,217159, 48.9,  0.0,221940, 48.8,  0.0
4,1,3,2,00,00000,0000,0000000,00000000000000,229340, 51.2,  0.0,226865, 51.1,  0.0,232962, 51.2,  0.0
4,1,3,3,00,00000,0000,0000000,00000000000000,5,  0.0,  0.0,0,  0.0,  0.0,3,  0.0,  0.0
4,2,1,1,00,00000,0000,0000000,00000000000000,218518, 69.6, 30.4,217159, 70.5, 29.5,221940, 61.9, 38.1
4,2,1,2,00,00000,0000,0000000,00000000000000,218518, 77.4, 22.6,217159, 74.5, 25.5,221940, 72.3, 27.7
4,2,1,3,00,00000,0000,0000000,00000000000000,218518, 78.7, 21.3,217159, 84.1, 15.9,221940, 86.1, 13.9
4,2,1,4,00,00000,0000,0000000,00000000000000,218518, 89.4, 10.6,217159, 91.4,  8.6,221940, 93.1,  6.9
4,2,1,5,00,00000,0000,0000000,00000000000000,218518, 66.1, 33.9,217159, 71.3, 28.7,221940, 76.4, 23.6
4,2,1,6,00,00000,0000,0000000,00000000000000,218518, 75.0, 25.0,217159, 82.1, 17.9,221940, 83.0, 17.0
4,2,2,1,00,00000,0000,0000000,00000000000000,70419, 32.2, 32.2,82399, 37.9, 37.9,83624, 37.7, 37.7
4,2,2,2,00,00000,0000,0000000,00000000000000,59200, 27.1, 59.3,58352, 26.9, 64.8,61636, 27.8, 65.5
4,2,2,3,00,00000,0000,0000000,00000000000000,41329, 18.9, 78.2,37294, 17.2, 82.0,36772, 16.6, 82.1
4,2,2,4,00,00000,0000,0000000,00000000000000,26213, 12.0, 90.2,22105, 10.2, 92.2,21854,  9.8, 91.9
4,2,2,5,00,00000,0000,0000000,00000000000000,14256,  6.5, 96.7,11394,  5.2, 97.4,10965,  4.9, 96.8
4,2,2,6,00,00000,0000,0000000,00000000000000,5844,  2.7, 99.4,4419,  2.0, 99.4,4754,  2.1, 98.9
4,2,2,7,00,00000,0000,0000000,00000000000000,1257,  0.6,100.0,1196,  0.6,100.0,2335,  1.1,100.0
4,2,2,8,00,00000,0000,0000000,00000000000000,218518,100.0, ,217159,100.0, ,221940,100.0, 
4,3,1,1,00,00000,0000,0000000,00000000000000,229340, 61.5, 38.5,226865, 63.9, 36.1,232962, 66.1, 33.9
4,3,1,2,00,00000,0000,0000000,00000000000000,229340, 60.0, 40.0,226865, 63.5, 36.5,232962, 70.3, 29.7
4,3,1,3,00,00000,0000,0000000,00000000000000,229340, 80.1, 19.9,226865, 86.5, 13.5,232962, 87.9, 12.1
4,3,1,4,00,00000,0000,0000000,00000000000000,229340, 87.1, 12.9,226865, 89.3, 10.7,232962, 90.4,  9.6
4,3,1,5,00,00000,0000,0000000,00000000000000,229340, 72.7, 27.3,226865, 74.1, 25.9,232962, 78.4, 21.6
4,3,1,6,00,00000,0000,0000000,00000000000000,229340, 67.4, 32.6,226865, 75.4, 24.6,232962, 82.4, 17.6
4,3,2,1,00,00000,0000,0000000,00000000000000,59346, 25.9, 25.9,72937, 32.1, 32.1,92560, 39.7, 39.7
4,3,2,2,00,00000,0000,0000000,00000000000000,59258, 25.8, 51.7,60526, 26.7, 58.8,63216, 27.1, 66.8
4,3,2,3,00,00000,0000,0000000,00000000000000,45985, 20.1, 71.8,41526, 18.3, 77.1,35567, 15.3, 82.1
4,3,2,4,00,00000,0000,0000000,00000000000000,32236, 14.1, 85.9,27411, 12.1, 89.2,21743,  9.3, 91.4
4,3,2,5,00,00000,0000,0000000,00000000000000,20294,  8.8, 94.7,15805,  7.0, 96.2,11652,  5.0, 96.4
4,3,2,6,00,00000,0000,0000000,00000000000000,9702,  4.2, 98.9,6793,  3.0, 99.2,5470,  2.3, 98.7
4,3,2,7,00,00000,0000,0000000,00000000000000,2519,  1.1,100.0,1867,  0.8,100.0,2754,  1.2, 99.9
4,3,2,8,00,00000,0000,0000000,00000000000000,229340,100.0, ,226865,100.0, ,232962,100.0, 
4,4,3,1,00,00000,0000,0000000,00000000000000,4153,  0.9,  0.0,3957,  0.9,  0.0,4336,  1.0,  0.0
4,4,3,2,00,00000,0000,0000000,00000000000000,10653,  2.4,  0.0,11507,  2.6,  0.0,12010,  2.6,  0.0
4,4,3,3,00,00000,0000,0000000,00000000000000,2209,  0.5,  0.0,1968,  0.4,  0.0,2168,  0.5,  0.0
4,4,3,4,00,00000,0000,0000000,00000000000000,3988,  0.9,  0.0,4164,  0.9,  0.0,4566,  1.0,  0.0
4,4,3,5,00,00000,0000,0000000,00000000000000,6730,  1.5,  0.0,6915,  1.6,  0.0,6893,  1.5,  0.0
4,4,3,6,00,00000,0000,0000000,00000000000000,5503,  1.2,  0.0,5206,  1.2,  0.0,4642,  1.0,  0.0
4,4,3,7,00,00000,0000,0000000,00000000000000,932,  0.2,  0.0,1047,  0.2,  0.0,976,  0.2,  0.0
4,4,3,8,00,00000,0000,0000000,00000000000000,1087,  0.2,  0.0,1136,  0.3,  0.0,1274,  0.3,  0.0
4,4,3,9,00,00000,0000,0000000,00000000000000,8639,  1.9,  0.0,9386,  2.1,  0.0,9532,  2.1,  0.0
4,4,3,10,00,00000,0000,0000000,00000000000000,365,  0.1,  0.0,388,  0.1,  0.0,415,  0.1,  0.0
4,4,3,11,00,00000,0000,0000000,00000000000000,240,  0.1,  0.0,288,  0.1,  0.0,266,  0.1,  0.0
4,4,3,12,00,00000,0000,0000000,00000000000000,734,  0.2,  0.0,718,  0.2,  0.0,658,  0.1,  0.0
4,4,3,13,00,00000,0000,0000000,00000000000000,24,  0.0,  0.0,28,  0.0,  0.0,23,  0.0,  0.0
4,4,3,14,00,00000,0000,0000000,00000000000000,1591,  0.4,  0.0,1678,  0.4,  0.0,1703,  0.4,  0.0
4,4,3,15,00,00000,0000,0000000,00000000000000,12077,  2.7,  0.0,12093,  2.7,  0.0,13061,  2.9,  0.0
4,4,3,16,00,00000,0000,0000000,00000000000000,226782, 50.6,  0.0,223261, 50.3,  0.0,225663, 49.6,  0.0
4,4,3,17,00,00000,0000,0000000,00000000000000,32665,  7.3,  0.0,31845,  7.2,  0.0,32556,  7.2,  0.0
4,4,3,18,00,00000,0000,0000000,00000000000000,124763, 27.9,  0.0,124395, 28.0,  0.0,130342, 28.7,  0.0
