name,length,resolved_type,has_codes,count,ints,floats,strs,nones,datetimes,dates,times,strvals
ID,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Level_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Report_Number,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Table_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Number,1,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
CO,2,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
DIST,5,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
SCHL,7,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
Line_Text,24,<type 'str'>,False,5001,0,0,5001,0,0,0,0,"Aerobic Capacity,Body Composition,Abdominal Strength,Trunk Extension Strength,Upper Body Strength,Flexibility"
NoStud5,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ5,3,<type 'str'>,False,5001,3543,0,1458,0,0,0,0,**
Perc5a,5,<type 'str'>,False,5001,2791,752,1458,0,0,0,0,**
Perc5b,5,<type 'str'>,False,5001,2797,746,1458,0,0,0,0,**
Perc5c,4,<type 'str'>,False,5001,3308,235,1458,0,0,0,0,**
NoStud7,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ7,3,<type 'int'>,True,5001,4347,0,654,0,0,0,0,**
Perc7a,5,<type 'float'>,True,5001,3907,440,654,0,0,0,0,**
Perc7b,5,<type 'float'>,True,5001,3902,445,654,0,0,0,0,**
Perc7c,4,<type 'float'>,True,5001,4195,152,654,0,0,0,0,**
NoStud9,3,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
NoHFZ9,3,<type 'int'>,True,5001,4623,0,378,0,0,0,0,**
Perc9a,5,<type 'float'>,True,5001,4220,403,378,0,0,0,0,**
Perc9b,5,<type 'float'>,True,5001,4220,403,378,0,0,0,0,**
Perc9c,4,<type 'float'>,True,5001,4490,133,378,0,0,0,0,**
ChrtNum,4,<type 'int'>,False,5001,5001,0,0,0,0,0,0,
