ID,Level_Number,Report_Number,Table_Number,Line_Number,CO,DIST,SCHL,Line_Text,NoStud5,NoHFZ5,Perc5a,Perc5b,Perc5c,NoStud7,NoHFZ7,Perc7a,Perc7b,Perc7c,NoStud9,NoHFZ9,Perc9a,Perc9b,Perc9c,ChrtNum
1620305,1,0,1,1,39,68585,6042170,Aerobic Capacity,27,15,55.6,40.7,3.7,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620306,1,0,1,2,39,68585,6042170,Body Composition,27,8,29.6,25.9,44.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620307,1,0,1,3,39,68585,6042170,Abdominal Strength,27,21,77.8,22.2,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620308,1,0,1,4,39,68585,6042170,Trunk Extension Strength,27,24,88.9,11.1,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620309,1,0,1,5,39,68585,6042170,Upper Body Strength,27,16,59.3,40.7,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620310,1,0,1,6,39,68585,6042170,Flexibility,27,12,44.4,55.6,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620543,1,0,1,1,39,68585,6042188,Aerobic Capacity,45,26,57.8,42.2,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620544,1,0,1,2,39,68585,6042188,Body Composition,45,25,55.6,8.9,35.5,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620545,1,0,1,3,39,68585,6042188,Abdominal Strength,45,30,66.7,33.3,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620546,1,0,1,4,39,68585,6042188,Trunk Extension Strength,45,44,97.8,2.2,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620547,1,0,1,5,39,68585,6042188,Upper Body Strength,45,26,57.8,42.2,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620548,1,0,1,6,39,68585,6042188,Flexibility,45,26,57.8,42.2,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0000
1620781,1,0,1,1,39,68585,6042196,Aerobic Capacity,0,0,0.0,0.0,0.0,388,213,54.9,35.1,10.0,0,0,0.0,0.0,0.0,0000
1620782,1,0,1,2,39,68585,6042196,Body Composition,0,0,0.0,0.0,0.0,388,209,53.9,12.6,33.5,0,0,0.0,0.0,0.0,0000
