Level_Number,Report_Number,Table_Number,Line_Number,CO,DIST,SCHL,Line_Text,NoStud5,NoHFZ5,Perc5a,Perc5b,Perc5c,NoStud7,NoHFZ7,Perc7a,Perc7b,Perc7c,NoStud9,NoHFZ9,Perc9a,Perc9b,Perc9c,ChrtNum
1,0,1,1,33,75192,0113696,Aerobic Capacity                   ,184,148, 80.4, 14.1,  5.5,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,33,75192,0113696,Body Composition                   ,184,122, 66.3, 12.5, 21.2,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,33,75192,0113696,Abdominal Strength                 ,184,162, 88.0, 12.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,33,75192,0113696,Trunk Extension Strength           ,184,174, 94.6,  5.4,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,33,75192,0113696,Upper Body Strength                ,184,160, 87.0, 13.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,33,75192,0113696,Flexibility                        ,184,129, 70.1, 29.9,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,33,75192,3330917,Aerobic Capacity                   ,83,48, 57.8, 42.2,  0.0,88,77, 87.5,  8.0,  4.5,72,53, 73.6, 22.2,  4.2,0284
1,0,1,2,33,75192,3330917,Body Composition                   ,83,62, 74.7,  9.6, 15.7,88,71, 80.7,  9.1, 10.2,72,48, 66.7, 16.7, 16.6,0284
1,0,1,3,33,75192,3330917,Abdominal Strength                 ,83,64, 77.1, 22.9,  0.0,88,76, 86.4, 13.6,  0.0,72,44, 61.1, 38.9,  0.0,0284
1,0,1,4,33,75192,3330917,Trunk Extension Strength           ,83,82, 98.8,  1.2,  0.0,88,86, 97.7,  2.3,  0.0,72,69, 95.8,  4.2,  0.0,0284
1,0,1,5,33,75192,3330917,Upper Body Strength                ,83,51, 61.4, 38.6,  0.0,88,62, 70.5, 29.5,  0.0,72,48, 66.7, 33.3,  0.0,0284
1,0,1,6,33,75192,3330917,Flexibility                        ,83,71, 85.5, 14.5,  0.0,88,78, 88.6, 11.4,  0.0,72,63, 87.5, 12.5,  0.0,0284
1,0,1,1,33,75176,3332350,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,246, 53.0, 35.1, 11.9,0000
1,0,1,2,33,75176,3332350,Body Composition                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,259, 55.8, 17.5, 26.7,0000
1,0,1,3,33,75176,3332350,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,437, 94.2,  5.8,  0.0,0000
1,0,1,4,33,75176,3332350,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,420, 90.5,  9.5,  0.0,0000
1,0,1,5,33,75176,3332350,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,347, 74.8, 25.2,  0.0,0000
1,0,1,6,33,75176,3332350,Flexibility                        ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,464,359, 77.4, 22.6,  0.0,0000
1,0,1,1,33,75176,0107920,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,200, 45.2, 46.4,  8.4,0000
1,0,1,2,33,75176,0107920,Body Composition                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,258, 58.4, 15.8, 25.8,0000
1,0,1,3,33,75176,0107920,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,386, 87.3, 12.7,  0.0,0000
1,0,1,4,33,75176,0107920,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,416, 94.1,  5.9,  0.0,0000
1,0,1,5,33,75176,0107920,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,332, 75.1, 24.9,  0.0,0000
1,0,1,6,33,75176,0107920,Flexibility                        ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,442,362, 81.9, 18.1,  0.0,0000
1,0,1,1,33,67249,6109490,Aerobic Capacity                   ,128,90, 70.3, 17.2, 12.5,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,33,67249,6109490,Body Composition                   ,128,73, 57.0,  7.8, 35.2,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,33,67249,6109490,Abdominal Strength                 ,128,111, 86.7, 13.3,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,33,67249,6109490,Trunk Extension Strength           ,128,111, 86.7, 13.3,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,33,67249,6109490,Upper Body Strength                ,128,77, 60.2, 39.8,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,33,67249,6109490,Flexibility                        ,128,121, 94.5,  5.5,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,33,73676,0100263,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,498,210, 42.2, 42.6, 15.2,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,33,73676,0100263,Body Composition                   ,0,0,  0.0,  0.0,  0.0,498,195, 39.2, 12.4, 48.4,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,33,73676,0100263,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,498,256, 51.4, 48.6,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,33,73676,0100263,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,498,464, 93.2,  6.8,  0.0,0,0,  0.0,  0.0,  0.0,0000
