Level_Number,Report_Number,Table_Number,Line_Number,CO,DIST,SCHL,Line_Text,NoStud5,NoHFZ5,Perc5a,Perc5b,Perc5c,NoStud7,NoHFZ7,Perc7a,Perc7b,Perc7c,NoStud9,NoHFZ9,Perc9a,Perc9b,Perc9c,ChrtNum
1,0,1,1,10,73965,6120521,Aerobic Capacity                   ,124,82, 66.1, 25.8,  8.1,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73965,6120521,Body Composition                   ,124,73, 58.9, 21.0, 20.1,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73965,6120521,Abdominal Strength                 ,124,120, 96.8,  3.2,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73965,6120521,Trunk Extension Strength           ,124,124,100.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73965,6120521,Upper Body Strength                ,124,107, 86.3, 13.7,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73965,6120521,Flexibility                        ,124,113, 91.1,  8.9,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,10,73965,6120539,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,387,302, 78.0, 11.9, 10.1,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73965,6120539,Body Composition                   ,0,0,  0.0,  0.0,  0.0,387,254, 65.6, 16.3, 18.1,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73965,6120539,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,387,348, 89.9, 10.1,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73965,6120539,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,387,384, 99.2,  0.8,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73965,6120539,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,387,308, 79.6, 20.4,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73965,6120539,Flexibility                        ,0,0,  0.0,  0.0,  0.0,387,350, 90.4,  9.6,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,10,73999,0000001,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73999,0000001,Body Composition                   ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73999,0000001,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73999,0000001,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73999,0000001,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73999,0000001,Flexibility                        ,0,0,  0.0,  0.0,  0.0,1,**,**,**,**,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,10,73999,0123596,Aerobic Capacity                   ,118,49, 41.5, 42.4, 16.1,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73999,0123596,Body Composition                   ,118,47, 39.8, 22.9, 37.3,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73999,0123596,Abdominal Strength                 ,118,50, 42.4, 57.6,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73999,0123596,Trunk Extension Strength           ,118,102, 86.4, 13.6,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73999,0123596,Upper Body Strength                ,118,46, 39.0, 61.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73999,0123596,Flexibility                        ,118,72, 61.0, 39.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,10,73999,1033422,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,2,10,73999,1033422,Body Composition                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,3,10,73999,1033422,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,4,10,73999,1033422,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,5,10,73999,1033422,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,6,10,73999,1033422,Flexibility                        ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,8,**,**,**,**,0000
1,0,1,1,10,73999,1033430,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,250, 72.5, 20.3,  7.2,0000
1,0,1,2,10,73999,1033430,Body Composition                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,211, 61.2, 24.3, 14.5,0000
1,0,1,3,10,73999,1033430,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,327, 94.8,  5.2,  0.0,0000
1,0,1,4,10,73999,1033430,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,342, 99.1,  0.9,  0.0,0000
1,0,1,5,10,73999,1033430,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,255, 73.9, 26.1,  0.0,0000
1,0,1,6,10,73999,1033430,Flexibility                        ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,345,304, 88.1, 11.9,  0.0,0000
1,0,1,1,10,73999,6006688,Aerobic Capacity                   ,86,79, 91.9,  5.8,  2.3,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73999,6006688,Body Composition                   ,86,67, 77.9, 20.9,  1.2,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73999,6006688,Abdominal Strength                 ,86,60, 69.8, 30.2,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73999,6006688,Trunk Extension Strength           ,86,86,100.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73999,6006688,Upper Body Strength                ,86,37, 43.0, 57.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73999,6006688,Flexibility                        ,86,60, 69.8, 30.2,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,10,73999,6006696,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,392,303, 77.3, 13.5,  9.2,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,10,73999,6006696,Body Composition                   ,0,0,  0.0,  0.0,  0.0,392,212, 54.1, 18.6, 27.3,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,10,73999,6006696,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,392,314, 80.1, 19.9,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,10,73999,6006696,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,392,380, 96.9,  3.1,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,10,73999,6006696,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,392,292, 74.5, 25.5,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,10,73999,6006696,Flexibility                        ,0,0,  0.0,  0.0,  0.0,392,362, 92.3,  7.7,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,11,62646,6089262,Aerobic Capacity                   ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,11,62646,6089262,Body Composition                   ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,11,62646,6089262,Abdominal Strength                 ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,11,62646,6089262,Trunk Extension Strength           ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,11,62646,6089262,Upper Body Strength                ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,11,62646,6089262,Flexibility                        ,9,**,**,**,**,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,1,11,62653,1132109,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,2,11,62653,1132109,Body Composition                   ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,3,11,62653,1132109,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,4,11,62653,1132109,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,5,11,62653,1132109,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,6,11,62653,1132109,Flexibility                        ,0,0,  0.0,  0.0,  0.0,7,**,**,**,**,7,**,**,**,**,0000
1,0,1,1,11,62661,1132851,Aerobic Capacity                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,75, 66.4, 20.4, 13.2,0000
1,0,1,2,11,62661,1132851,Body Composition                   ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,68, 60.2, 23.9, 15.9,0000
1,0,1,3,11,62661,1132851,Abdominal Strength                 ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,101, 89.4, 10.6,  0.0,0000
1,0,1,4,11,62661,1132851,Trunk Extension Strength           ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,98, 86.7, 13.3,  0.0,0000
1,0,1,5,11,62661,1132851,Upper Body Strength                ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,83, 73.5, 26.5,  0.0,0000
1,0,1,6,11,62661,1132851,Flexibility                        ,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,113,79, 69.9, 30.1,  0.0,0000
1,0,1,1,11,62661,6007603,Aerobic Capacity                   ,104,55, 52.9, 37.5,  9.6,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,2,11,62661,6007603,Body Composition                   ,104,49, 47.1, 26.0, 26.9,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,3,11,62661,6007603,Abdominal Strength                 ,104,102, 98.1,  1.9,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,4,11,62661,6007603,Trunk Extension Strength           ,104,104,100.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,5,11,62661,6007603,Upper Body Strength                ,104,46, 44.2, 55.8,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
1,0,1,6,11,62661,6007603,Flexibility                        ,104,65, 62.5, 37.5,  0.0,0,0,  0.0,  0.0,  0.0,0,0,  0.0,  0.0,  0.0,0000
