Level,SubGrp,RptType,Line_num,Ccode,Dcode,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000000,00000000000000,352131,58.10,41.90,320706,58.40,41.60,276181,49.00,51.00
4,0,1,2,00,00000,0000000,00000000000000,352131,67.10,32.90,320706,66.70,33.30,276181,68.60,31.40
4,0,1,3,00,00000,0000000,00000000000000,352131,79.70,20.30,320706,81.10,18.90,276181,80.00,20.00
4,0,1,4,00,00000,0000000,00000000000000,352131,84.10,15.90,320706,85.80,14.20,276181,79.60,20.40
4,0,1,5,00,00000,0000000,00000000000000,352131,60.60,39.40,320706,58.80,41.20,276181,59.50,40.50
4,0,1,6,00,00000,0000000,00000000000000,352131,60.80,39.20,320706,66.80,33.20,276181,66.10,33.90
4,0,2,1,00,00000,0000000,00000000000000,70168,19.90,19.90,72396,22.60,22.60,56302,20.40,20.40
4,0,2,2,00,00000,0000000,00000000000000,93799,26.60,46.60,85905,26.80,49.40,72860,26.40,46.80
4,0,2,3,00,00000,0000000,00000000000000,79850,22.70,69.20,68812,21.50,70.80,59972,21.70,68.50
4,0,2,4,00,00000,0000000,00000000000000,54765,15.60,84.80,46498,14.50,85.30,39599,14.30,82.80
4,0,2,5,00,00000,0000000,00000000000000,29471,8.40 ,93.20,25065,7.80 ,93.10,20929,7.60 ,90.40
4,0,2,6,00,00000,0000000,00000000000000,12298,3.50 ,96.70,10563,3.30 ,96.40,9792,3.50 ,93.90
4,0,2,7,00,00000,0000000,00000000000000,11780,3.30 ,100.0,11467,3.60 ,100.0,16727,6.10 ,100.0
4,0,2,8,00,00000,0000000,00000000000000,352131,98.60, ,320706,98.10, ,276181,94.50, 
4,1,3,1,00,00000,0000000,00000000000000,172658,49.00,0.00 ,157298,49.00,0.00 ,134836,48.70,0.00 
4,1,3,2,00,00000,0000000,00000000000000,179473,50.90,0.00 ,163408,50.90,0.00 ,141345,51.00,0.00 
4,1,3,3,00,00000,0000000,00000000000000,388,0.10 ,0.00 ,257,0.10 ,0.00 ,876,0.30 ,0.00 
4,2,1,1,00,00000,0000000,00000000000000,172658,57.70,42.30,157298,58.20,41.80,134836,42.60,57.40
4,2,1,2,00,00000,0000000,00000000000000,172658,73.80,26.20,157298,71.00,29.00,134836,70.00,30.00
4,2,1,3,00,00000,0000000,00000000000000,172658,78.80,21.20,157298,80.30,19.70,134836,79.60,20.40
4,2,1,4,00,00000,0000000,00000000000000,172658,84.50,15.50,157298,86.40,13.60,134836,80.80,19.20
4,2,1,5,00,00000,0000000,00000000000000,172658,55.40,44.60,157298,55.10,44.90,134836,55.50,44.50
4,2,1,6,00,00000,0000000,00000000000000,172658,65.90,34.10,157298,74.00,26.00,134836,73.30,26.70
4,2,2,1,00,00000,0000000,00000000000000,35908,20.80,20.80,37487,23.80,23.80,25921,19.20,19.20
4,2,2,2,00,00000,0000000,00000000000000,46369,26.90,47.70,42563,27.10,50.90,35294,26.20,45.40
4,2,2,3,00,00000,0000000,00000000000000,40024,23.20,70.80,34336,21.80,72.70,31177,23.10,68.50
4,2,2,4,00,00000,0000000,00000000000000,26308,15.20,86.10,22131,14.10,86.80,20261,15.00,83.50
4,2,2,5,00,00000,0000000,00000000000000,13289,7.70 ,93.80,11171,7.10 ,93.90,9898,7.30 ,90.90
4,2,2,6,00,00000,0000000,00000000000000,5395,3.10 ,96.90,4485,2.90 ,96.70,4458,3.30 ,94.20
4,2,2,7,00,00000,0000000,00000000000000,5365,3.10 ,100.0,5125,3.30 ,100.0,7827,5.80 ,100.0
4,2,2,8,00,00000,0000000,00000000000000,172658,98.60, ,157298,98.20, ,134836,94.70, 
4,3,1,1,00,00000,0000000,00000000000000,179473,58.40,41.60,163408,58.70,41.30,141345,55.00,45.00
4,3,1,2,00,00000,0000000,00000000000000,179473,60.70,39.30,163408,62.70,37.30,141345,67.30,32.70
4,3,1,3,00,00000,0000000,00000000000000,179473,80.50,19.50,163408,81.80,18.20,141345,80.40,19.60
4,3,1,4,00,00000,0000000,00000000000000,179473,83.80,16.20,163408,85.30,14.70,141345,78.60,21.40
4,3,1,5,00,00000,0000000,00000000000000,179473,65.60,34.40,163408,62.50,37.50,141345,63.30,36.70
4,3,1,6,00,00000,0000000,00000000000000,179473,55.80,44.20,163408,59.90,40.10,141345,59.30,40.70
4,3,2,1,00,00000,0000000,00000000000000,34260,19.10,19.10,34909,21.40,21.40,30381,21.50,21.50
4,3,2,2,00,00000,0000000,00000000000000,47430,26.40,45.50,43342,26.50,47.90,37566,26.60,48.10
4,3,2,3,00,00000,0000000,00000000000000,39826,22.20,67.70,34476,21.10,69.00,28795,20.40,68.40
4,3,2,4,00,00000,0000000,00000000000000,28457,15.90,83.60,24367,14.90,83.90,19338,13.70,82.10
4,3,2,5,00,00000,0000000,00000000000000,16182,9.00 ,92.60,13894,8.50 ,92.40,11031,7.80 ,89.90
4,3,2,6,00,00000,0000000,00000000000000,6903,3.80 ,96.40,6078,3.70 ,96.10,5334,3.80 ,93.70
4,3,2,7,00,00000,0000000,00000000000000,6415,3.60 ,100.0,6342,3.90 ,100.0,8900,6.30 ,100.0
4,3,2,8,00,00000,0000000,00000000000000,179473,98.50, ,163408,98.00, ,141345,94.30, 
4,4,3,1,00,00000,0000000,00000000000000,27859,7.90 ,0.00 ,24266,7.60 ,0.00 ,17279,6.20 ,0.00 
4,4,3,2,00,00000,0000000,00000000000000,3878,1.10 ,0.00 ,3347,1.00 ,0.00 ,2823,1.00 ,0.00 
4,4,3,3,00,00000,0000000,00000000000000,29620,8.40 ,0.00 ,27397,8.50 ,0.00 ,25558,9.20 ,0.00 
4,4,3,4,00,00000,0000000,00000000000000,10095,2.90 ,0.00 ,9701,3.00 ,0.00 ,8330,3.00 ,0.00 
4,4,3,5,00,00000,0000000,00000000000000,137351,39.00,0.00 ,119967,37.40,0.00 ,104098,37.60,0.00 
4,4,3,6,00,00000,0000000,00000000000000,4344,1.20 ,0.00 ,4440,1.40 ,0.00 ,3544,1.30 ,0.00 
4,4,3,7,00,00000,0000000,00000000000000,124959,35.40,0.00 ,116242,36.20,0.00 ,98523,35.60,0.00 
4,4,3,8,00,00000,0000000,00000000000000,14413,4.10 ,0.00 ,15603,4.90 ,0.00 ,16902,6.10 ,0.00 
4,5,1,1,00,00000,0000000,00000000000000,27859,51.10,48.90,24266,47.30,52.70,17279,41.00,59.00
4,5,1,2,00,00000,0000000,00000000000000,27859,67.20,32.80,24266,66.10,33.90,17279,66.70,33.30
4,5,1,3,00,00000,0000000,00000000000000,27859,77.70,22.30,24266,75.80,24.20,17279,75.30,24.70
4,5,1,4,00,00000,0000000,00000000000000,27859,80.20,19.80,24266,82.30,17.70,17279,76.30,23.70
4,5,1,5,00,00000,0000000,00000000000000,27859,59.80,40.20,24266,55.40,44.60,17279,54.50,45.50
4,5,1,6,00,00000,0000000,00000000000000,27859,57.10,42.90,24266,59.50,40.50,17279,62.50,37.50
4,5,2,1,00,00000,0000000,00000000000000,4541,16.30,16.30,3962,16.30,16.30,2700,15.60,15.60
4,5,2,2,00,00000,0000000,00000000000000,6940,24.90,41.20,5840,24.10,40.40,4147,24.00,39.60
4,5,2,3,00,00000,0000000,00000000000000,6696,24.00,65.20,5525,22.80,63.20,3901,22.60,62.20
4,5,2,4,00,00000,0000000,00000000000000,4763,17.10,82.30,4205,17.30,80.50,2754,15.90,78.10
4,5,2,5,00,00000,0000000,00000000000000,2645,9.50 ,91.80,2429,10.00,90.50,1658,9.60 ,87.70
4,5,2,6,00,00000,0000000,00000000000000,1217,4.40 ,96.20,1233,5.10 ,95.60,912,5.30 ,93.00
4,5,2,7,00,00000,0000000,00000000000000,1057,3.80 ,100.0,1072,4.40 ,100.0,1207,7.00 ,100.0
4,5,2,8,00,00000,0000000,00000000000000,27859,95.60, ,24266,94.70, ,17279,84.90, 
4,6,1,1,00,00000,0000000,00000000000000,3878,53.40,46.60,3347,53.80,46.20,2823,47.40,52.60
4,6,1,2,00,00000,0000000,00000000000000,3878,65.40,34.60,3347,65.20,34.80,2823,68.40,31.60
