table,seq,column,is_pk,is_fk,id,type,size,description,d_caster,d_has_codes
subgroups,1,id,1,,t000002F01,INTEGER,,1999 PFT Subgroup,,
subgroups,12,subgrp,,,c000002F0100c,INTEGER,2,SubGrp,,
subgroups,13,rpttype,,,c000002F0100d,INTEGER,1,RptType,,
subgroups,14,linenum,,,c000002F0100e,INTEGER,2,LineNum,,
subgroups,15,reporttype,,,c000002F0100f,VARCHAR,28,ReportType,,
subgroups,16,subgroup,,,c000002F0100g,VARCHAR,47,SubGroup,,
subgroups,17,line_text,,,c000002F0100h,VARCHAR,35,Line_Text,,
subgroups,18,level_number,,,c000002F0100i,INTEGER,1,Level_Number,,
subgroups,19,report_number,,,c000002F0100j,INTEGER,2,Report_Number,,
subgroups,20,table_number,,,c000002F0100k,INTEGER,1,Table_Number,,
subgroups,21,line_number,,,c000002F0100l,INTEGER,1,Line_Number,,
subgroups,22,table_type,,,c000002F0100m,VARCHAR,28,Table_Type,,
,,,,,,,,,,
entities,1,id,1,,t000002F02,INTEGER,,2004 PFT Entities,,
entities,15,ccode,,,c000002F0200f,INTEGER,2,ccode,,
entities,16,dcode,,,c000002F0200g,INTEGER,5,dcode,,
entities,17,charternum,,,c000002F0200h,VARCHAR,4,charternum,,1
entities,18,scode,,,c000002F0200i,INTEGER,7,scode,,
entities,19,cds_code,,,c000002F0200j,INTEGER64,14,cds_code,,
entities,20,county,,,c000002F0200k,VARCHAR,30,County,,
entities,21,district,,,c000002F0200l,VARCHAR,74,District,,
entities,22,school,,,c000002F0200m,VARCHAR,106,School,,
entities,23,chrtnum,,,c000002F0200n,INTEGER,4,chrtnum,,1
entities,24,cdscode,,,c000002F0200o,INTEGER64,14,cdscode,,
,,,,,,,,,,
physfit,1,id,1,,t000002F03,INTEGER,,2009 PFT Fitness Results,,
physfit,16,level_number,,,c000002F0300g,INTEGER,1,Level_Number,,
physfit,17,report_number,,,c000002F0300h,INTEGER,2,Report_Number,,
physfit,18,table_number,,,c000002F0300i,INTEGER,1,Table_Number,,
physfit,19,line_number,,,c000002F0300j,INTEGER,1,Line_Number,,
physfit,20,co,,,c000002F0300k,INTEGER,2,CO,,
physfit,21,dist,,,c000002F0300l,INTEGER,5,DIST,,
physfit,22,schl,,,c000002F0300m,INTEGER,7,SCHL,,
physfit,23,line_text,,,c000002F0300n,VARCHAR,35,Line_Text,,
physfit,24,nostud5,,,c000002F0300o,INTEGER,6,NoStud5,,
physfit,25,nohfz5,,,c000002F0300p,INTEGER,6,NoHFZ5,clean_stars,1
physfit,26,perc5a,,,c000002F0300q,REAL,,Perc5a,clean_stars,1
physfit,27,perc5b,,,c000002F0300r,REAL,,Perc5b,clean_stars,1
physfit,28,perc5c,,,c000002F0300s,REAL,,Perc5c,clean_stars,1
physfit,29,nostud7,,,c000002F0300t,INTEGER,6,NoStud7,clean_stars,1
physfit,30,nohfz7,,,c000002F0300u,INTEGER,6,NoHFZ7,clean_stars,1
physfit,31,perc7a,,,c000002F0300v,REAL,,Perc7a,clean_stars,1
physfit,32,perc7b,,,c000002F0300w,REAL,,Perc7b,clean_stars,1
physfit,33,perc7c,,,c000002F0300x,REAL,,Perc7c,clean_stars,1
physfit,34,nostud9,,,c000002F0300y,INTEGER,6,NoStud9,clean_stars,1
physfit,35,nohfz9,,,c000002F0300z,INTEGER,6,NoHFZ9,clean_stars,1
physfit,36,perc9a,,,c000002F0300A,REAL,,Perc9a,clean_stars,1
physfit,37,perc9b,,,c000002F0300B,REAL,,Perc9b,clean_stars,1
physfit,38,perc9c,,,c000002F0300C,REAL,,Perc9c,clean_stars,1
physfit,39,chrtnum,,,c000002F0300D,INTEGER,4,ChrtNum,clean_stars,1
physfit,40,id_src,,,c000002F0300E,INTEGER,7,ID,,None
physfit,41,level,,,c000002F0300F,INTEGER,1,Level,,
physfit,42,subgrp,,,c000002F0300G,INTEGER,2,SubGrp,,
physfit,43,rpttype,,,c000002F0300H,INTEGER,1,RptType,,
physfit,44,line_num,,,c000002F0300I,INTEGER,2,line_num,,
physfit,45,ccode,,,c000002F0300J,INTEGER,2,Ccode,,
physfit,46,dcode,,,c000002F0300K,INTEGER,5,Dcode,,
physfit,47,charternum,,,c000002F0300L,INTEGER,4,charternum,,
physfit,48,scode,,,c000002F0300M,INTEGER,7,Scode,,
physfit,49,cds_code,,,c000002F0300N,INTEGER64,14,cds_code,,
physfit,50,gr05_stu,,,c000002F0300O,INTEGER,6,Gr05_Stu,clean_stars,1
physfit,51,gr5pctin,,,c000002F0300P,REAL,,Gr5PctIn,clean_stars,1
physfit,52,gr5pctnotin,,,c000002F0300Q,REAL,,Gr5PctNotIn,clean_stars,1
physfit,53,gr07_stu,,,c000002F0300R,INTEGER,6,Gr07_Stu,clean_stars,1
physfit,54,gr7pctin,,,c000002F0300S,REAL,,Gr7PctIn,clean_stars,1
physfit,55,gr7pctnotin,,,c000002F0300T,REAL,,Gr7PctNotIn,clean_stars,1
physfit,56,gr09_stu,,,c000002F0300U,INTEGER,6,Gr09_Stu,clean_stars,1
physfit,57,gr9pctin,,,c000002F0300V,REAL,,Gr9PctIn,clean_stars,1
physfit,58,gr9pctnotin,,,c000002F0300W,REAL,,Gr9PctNotIn,clean_stars,1
