Level_Number,Report_Number,Table_Number,Line_Number,Line_Text,Table_Type,Subgroup
1,0,1,1,Aerobic Capacity                   ,Physical Fitness Areas,All Students
1,0,1,2,Body Composition                   ,Physical Fitness Areas,All Students
1,0,1,3,Abdominal Strength                 ,Physical Fitness Areas,All Students
1,0,1,4,Trunk Extension Strength           ,Physical Fitness Areas,All Students
1,0,1,5,Upper Body Strength                ,Physical Fitness Areas,All Students
1,0,1,6,Flexibility                        ,Physical Fitness Areas,All Students
1,0,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,All Students
1,0,2,8,Total tested                       ,Meeting Healthy Fitness Zone,All Students
1,1,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Female
1,1,1,2,Body Composition                   ,Physical Fitness Areas,Female
1,1,1,3,Abdominal Strength                 ,Physical Fitness Areas,Female
1,1,1,4,Trunk Extension Strength           ,Physical Fitness Areas,Female
1,1,1,5,Upper Body Strength                ,Physical Fitness Areas,Female
1,1,1,6,Flexibility                        ,Physical Fitness Areas,Female
1,1,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Female
1,1,2,8,Total tested                       ,Meeting Healthy Fitness Zone,Female
1,2,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Male
1,2,1,2,Body Composition                   ,Physical Fitness Areas,Male
1,2,1,3,Abdominal Strength                 ,Physical Fitness Areas,Male
1,2,1,4,Trunk Extension Strength           ,Physical Fitness Areas,Male
1,2,1,5,Upper Body Strength                ,Physical Fitness Areas,Male
1,2,1,6,Flexibility                        ,Physical Fitness Areas,Male
1,2,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Male
1,2,2,8,Total tested                       ,Meeting Healthy Fitness Zone,Male
1,3,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Black or African American
1,3,1,2,Body Composition                   ,Physical Fitness Areas,Black or African American
1,3,1,3,Abdominal Strength                 ,Physical Fitness Areas,Black or African American
1,3,1,4,Trunk Extension Strength           ,Physical Fitness Areas,Black or African American
1,3,1,5,Upper Body Strength                ,Physical Fitness Areas,Black or African American
1,3,1,6,Flexibility                        ,Physical Fitness Areas,Black or African American
1,3,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Black or African American
1,3,2,8,Total tested                       ,Meeting Healthy Fitness Zone,Black or African American
1,4,1,1,Aerobic Capacity                   ,Physical Fitness Areas,American Indian or Alaska Native
1,4,1,2,Body Composition                   ,Physical Fitness Areas,American Indian or Alaska Native
1,4,1,3,Abdominal Strength                 ,Physical Fitness Areas,American Indian or Alaska Native
1,4,1,4,Trunk Extension Strength           ,Physical Fitness Areas,American Indian or Alaska Native
1,4,1,5,Upper Body Strength                ,Physical Fitness Areas,American Indian or Alaska Native
1,4,1,6,Flexibility                        ,Physical Fitness Areas,American Indian or Alaska Native
1,4,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,4,2,8,Total tested                       ,Meeting Healthy Fitness Zone,American Indian or Alaska Native
1,5,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Asian
1,5,1,2,Body Composition                   ,Physical Fitness Areas,Asian
1,5,1,3,Abdominal Strength                 ,Physical Fitness Areas,Asian
1,5,1,4,Trunk Extension Strength           ,Physical Fitness Areas,Asian
1,5,1,5,Upper Body Strength                ,Physical Fitness Areas,Asian
1,5,1,6,Flexibility                        ,Physical Fitness Areas,Asian
1,5,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Asian
1,5,2,8,Total tested                       ,Meeting Healthy Fitness Zone,Asian
1,6,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Filipino
1,6,1,2,Body Composition                   ,Physical Fitness Areas,Filipino
1,6,1,3,Abdominal Strength                 ,Physical Fitness Areas,Filipino
1,6,1,4,Trunk Extension Strength           ,Physical Fitness Areas,Filipino
1,6,1,5,Upper Body Strength                ,Physical Fitness Areas,Filipino
1,6,1,6,Flexibility                        ,Physical Fitness Areas,Filipino
1,6,2,1,6 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,2,5 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,3,4 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,4,3 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,5,2 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,6,1 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,7,0 of 6 fitness standards           ,Meeting Healthy Fitness Zone,Filipino
1,6,2,8,Total tested                       ,Meeting Healthy Fitness Zone,Filipino
1,7,1,1,Aerobic Capacity                   ,Physical Fitness Areas,Hispanic
1,7,1,2,Body Composition                   ,Physical Fitness Areas,Hispanic
