table,seq,column,is_pk,is_fk,id,type,size,description,d_caster,d_has_codes
subgroups_10_14,1,id,1,,t000002F01,INTEGER,,2011 PFT Subgroup,,
subgroups_10_14,2,level_number,,,c000002F01002,INTEGER,1,Level_Number,,
subgroups_10_14,3,report_number,,,c000002F01003,INTEGER,2,Report_Number,,
subgroups_10_14,4,table_number,,,c000002F01004,INTEGER,1,Table_Number,,
subgroups_10_14,5,line_number,,,c000002F01005,INTEGER,1,Line_Number,,
subgroups_10_14,6,line_text,,,c000002F01006,VARCHAR,35,Line_Text,,
subgroups_10_14,7,table_type,,,c000002F01007,VARCHAR,28,Table_Type,,
subgroups_10_14,8,subgroup,,,c000002F01008,VARCHAR,47,Subgroup,,
,,,,,,,,,,
subgroups_99_10,1,id,1,,t000002F02,INTEGER,,1999 PFT Subgroup,,
subgroups_99_10,12,subgrp,,,c000002F0200c,INTEGER,2,SubGrp,,
subgroups_99_10,13,rpttype,,,c000002F0200d,INTEGER,1,RptType,,
subgroups_99_10,14,linenum,,,c000002F0200e,INTEGER,2,LineNum,,
subgroups_99_10,15,reporttype,,,c000002F0200f,VARCHAR,28,ReportType,,
subgroups_99_10,16,subgroup,,,c000002F0200g,VARCHAR,30,SubGroup,,
subgroups_99_10,17,line_text,,,c000002F0200h,VARCHAR,30,line_text,,
,,,,,,,,,,
entities_99_10,1,id,1,,t000002F03,INTEGER,,2004 PFT Entities,,
entities_99_10,11,ccode,,,c000002F0300b,INTEGER,2,Ccode,,
entities_99_10,12,dcode,,,c000002F0300c,INTEGER,5,Dcode,,
entities_99_10,13,charternum,,,c000002F0300d,VARCHAR,4,charternum,,1
entities_99_10,14,scode,,,c000002F0300e,INTEGER,7,Scode,,
entities_99_10,15,cds_code,,,c000002F0300f,INTEGER64,14,cds_code,,
entities_99_10,16,county,,,c000002F0300g,VARCHAR,30,County,,
entities_99_10,17,district,,,c000002F0300h,VARCHAR,60,District,,
entities_99_10,18,school,,,c000002F0300i,VARCHAR,60,school,,
,,,,,,,,,,
physfit_10_14,1,id,1,,t000002F04,INTEGER,,201314 Physical Fitness Research,,
physfit_10_14,2,level_number,,,c000002F04002,INTEGER,1,Level_Number,,
physfit_10_14,3,report_number,,,c000002F04003,INTEGER,2,Report_Number,,
physfit_10_14,4,table_number,,,c000002F04004,INTEGER,1,Table_Number,,
physfit_10_14,5,line_number,,,c000002F04005,INTEGER,1,Line_Number,,
physfit_10_14,6,co,,,c000002F04006,INTEGER,2,CO,,
physfit_10_14,7,dist,,,c000002F04007,INTEGER,5,DIST,,
physfit_10_14,8,schl,,,c000002F04008,INTEGER,7,SCHL,,
physfit_10_14,9,line_text,,,c000002F04009,VARCHAR,35,Line_Text,,
physfit_10_14,10,nostud5,,,c000002F0400a,INTEGER,6,NoStud5,clean_stars,1
physfit_10_14,11,nohfz5,,,c000002F0400b,INTEGER,6,NoHFZ5,clean_stars,1
physfit_10_14,12,perc5a,,,c000002F0400c,REAL,,Perc5a,clean_stars,1
physfit_10_14,13,perc5b,,,c000002F0400d,REAL,,Perc5b,clean_stars,1
physfit_10_14,14,perc5c,,,c000002F0400e,REAL,,Perc5c,clean_stars,1
physfit_10_14,15,nostud7,,,c000002F0400f,INTEGER,6,NoStud7,clean_stars,1
physfit_10_14,16,nohfz7,,,c000002F0400g,INTEGER,6,NoHFZ7,clean_stars,1
physfit_10_14,17,perc7a,,,c000002F0400h,REAL,,Perc7a,clean_stars,1
physfit_10_14,18,perc7b,,,c000002F0400i,REAL,,Perc7b,clean_stars,1
physfit_10_14,19,perc7c,,,c000002F0400j,REAL,,Perc7c,clean_stars,1
physfit_10_14,20,nostud9,,,c000002F0400k,INTEGER,6,NoStud9,clean_stars,1
physfit_10_14,21,nohfz9,,,c000002F0400l,INTEGER,6,NoHFZ9,clean_stars,1
physfit_10_14,22,perc9a,,,c000002F0400m,REAL,,Perc9a,clean_stars,1
physfit_10_14,23,perc9b,,,c000002F0400n,REAL,,Perc9b,clean_stars,1
physfit_10_14,24,perc9c,,,c000002F0400o,REAL,,Perc9c,clean_stars,1
physfit_10_14,25,chrtnum,,,c000002F0400p,VARCHAR,4,ChrtNum,,1
physfit_10_14,26,id_src,,,c000002F0400q,INTEGER,7,ID,,
,,,,,,,,,,
physfit_99_10,1,id,1,,t000002F05,INTEGER,,2009 PFT Fitness Results,,
physfit_99_10,12,level,,,c000002F0500c,INTEGER,1,Level,,
physfit_99_10,13,subgrp,,,c000002F0500d,INTEGER,2,SubGrp,,
physfit_99_10,14,rpttype,,,c000002F0500e,INTEGER,1,RptType,,
physfit_99_10,15,line_num,,,c000002F0500f,INTEGER,2,line_num,,
physfit_99_10,16,ccode,,,c000002F0500g,INTEGER,2,Ccode,,
physfit_99_10,17,dcode,,,c000002F0500h,INTEGER,5,Dcode,,
physfit_99_10,18,charternum,,,c000002F0500i,VARCHAR,4,charternum,,
physfit_99_10,19,scode,,,c000002F0500j,INTEGER,7,Scode,,
physfit_99_10,20,cds_code,,,c000002F0500k,INTEGER64,14,cds_code,,
physfit_99_10,21,gr05_stu,,,c000002F0500l,INTEGER,6,Gr05_Stu,clean_stars,1
physfit_99_10,22,gr5pctin,,,c000002F0500m,REAL,,Gr5PctIn,clean_stars,1
physfit_99_10,23,gr5pctnotin,,,c000002F0500n,REAL,,Gr5PctNotIn,clean_stars,1
physfit_99_10,24,gr07_stu,,,c000002F0500o,INTEGER,6,Gr07_Stu,clean_stars,1
physfit_99_10,25,gr7pctin,,,c000002F0500p,REAL,,Gr7PctIn,clean_stars,1
physfit_99_10,26,gr7pctnotin,,,c000002F0500q,REAL,,Gr7PctNotIn,clean_stars,1
physfit_99_10,27,gr09_stu,,,c000002F0500r,INTEGER,6,Gr09_Stu,clean_stars,1
physfit_99_10,28,gr9pctin,,,c000002F0500s,REAL,,Gr9PctIn,clean_stars,1
physfit_99_10,29,gr9pctnotin,,,c000002F0500t,REAL,,Gr9PctNotIn,clean_stars,1
,,,,,,,,,,
entities_10_14,1,id,1,,t000002F06,INTEGER,,201213 Physical Fitness Entities,,
entities_10_14,5,ccode,,,c000002F06005,INTEGER,2,ccode,,
entities_10_14,6,dcode,,,c000002F06006,INTEGER,5,dcode,,
entities_10_14,7,chrtnum,,,c000002F06007,VARCHAR,4,chrtnum,,1
entities_10_14,8,scode,,,c000002F06008,INTEGER,7,scode,,
entities_10_14,9,cdscode,,,c000002F06009,INTEGER64,14,cdscode,,
entities_10_14,10,county,,,c000002F0600a,VARCHAR,22,County,,
entities_10_14,11,district,,,c000002F0600b,VARCHAR,74,District,,
entities_10_14,12,school,,,c000002F0600c,VARCHAR,106,School,,
