name,title,table,segment,time,space,grain,start_line,end_line,comment_lines,header_lines,description,url,ref,filetype
entities11,,entities_10_14,,2011,,,,,,,2011 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles11.zip,,csv
entities12,,entities_10_14,,2011/2012,,,,,,,2011–12 Physical Fitness Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles12.zip,,tsv
entities13,,entities_10_14,,2012/2013,,,,,,,2012–13 Physical Fitness Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles13.zip,,tsv
entities14,,entities_10_14,,2013/2014,,,,,,,2013–14 Physical Fitness Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles14.zip,,tsv
entities01,,entities_99_10,,2001,,,,,,,2001 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles01.zip,,csv
entities02,,entities_99_10,,2002,,,,,,,2002 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles02.zip,,csv
entities03,,entities_99_10,,2003,,,,,,,2003 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles03.zip,,csv
entities04,,entities_99_10,,2004,,,,,,,2004 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles04.zip,,csv
entities05,,entities_99_10,,2005,,,,,,,2005 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles05.zip,,csv
entities06,,entities_99_10,,2006,,,,,,,2006 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles06.zip,,csv
entities07,,entities_99_10,,2007,,,,,,,2007 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles07.zip,,csv
entities08,,entities_99_10,,2008,,,,,,,2008 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles08.zip,,csv
entities09,,entities_99_10,,2009,,,,,,,2009 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles09.zip,,csv
entities10,,entities_99_10,,2010,,,,,,,2010 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles10.zip,,csv
entities99,,entities_99_10,,1999,,,,,,,1999 PFT Entities,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles99.zip,,csv
physfit11,,physfit_10_14,,2011,,,,,,,2011 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles11.zip,,csv
physfit12,,physfit_10_14,,2011/2012,,,,,,,2011–12 Physical Fitness Research,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles12.zip,,tsv
physfit13,,physfit_10_14,,2012/2013,,,,,,,2012–13 Physical Fitness Research,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles13.zip,,tsv
physfit14,,physfit_10_14,,2013/2014,,,,,,,2013–14 Physical Fitness Research,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles14.zip,,csv
physfit01,,physfit_99_10,,2001,,,,,,,2001 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles01.zip,,csv
physfit02,,physfit_99_10,,2002,,,,,,,2002 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles02.zip,,csv
physfit03,,physfit_99_10,,2003,,,,,,,2003 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles03.zip,,csv
physfit04,,physfit_99_10,,2004,,,,,,,2004 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles04.zip,,csv
physfit05,,physfit_99_10,,2005,,,,,,,2005 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles05.zip,,csv
physfit06,,physfit_99_10,,2006,,,,,,,2006 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles06.zip,,csv
physfit07,,physfit_99_10,,2007,,,,,,,2007 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles07.zip,,csv
physfit08,,physfit_99_10,,2008,,,,,,,2008 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles08.zip,,csv
physfit09,,physfit_99_10,,2009,,,,,,,2009 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles09.zip,,csv
physfit10,,physfit_99_10,,2010,,,,,,,2010 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles10.zip,,csv
physfit99,,physfit_99_10,,1999,,,,,,,1999 PFT Fitness Results,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles99.zip,,csv
subgroup11,,subgroups_10_14,,2011,,,,,,,2011 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles11.zip,,csv
subgroup12,,subgroups_10_14,,2011/2012,,,,,,,2011–12 Physical Fitness Subgroups,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles12.zip,,tsv
subgroup13,,subgroups_10_14,,2012/2013,,,,,,,2012–13 Physical Fitness Subgroups,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles13.zip,,tsv
subgroup14,,subgroups_10_14,,2013/2014,,,,,,,2013–14 Physical Fitness Subgroups,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles14.zip,,csv
subgroup01,,subgroups_99_10,,2001,,,,,,,2001 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles01.zip,,csv
subgroup02,,subgroups_99_10,,2002,,,,,,,2002 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles02.zip,,csv
subgroup03,,subgroups_99_10,,2003,,,,,,,2003 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles03.zip,,csv
subgroup04,,subgroups_99_10,,2004,,,,,,,2004 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles04.zip,,csv
subgroup05,,subgroups_99_10,,2005,,,,,,,2005 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles05.zip,,csv
subgroup06,,subgroups_99_10,,2006,,,,,,,2006 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles06.zip,,csv
subgroup07,,subgroups_99_10,,2007,,,,,,,2007 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles07.zip,,csv
subgroup08,,subgroups_99_10,,2008,,,,,,,2008 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles08.zip,,csv
subgroup09,,subgroups_99_10,,2009,,,,,,,2009 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles09.zip,,csv
subgroup10,,subgroups_99_10,,2010,,,,,,,2010 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles10.zip,,csv
subgroup99,,subgroups_99_10,,1999,,,,,,,1999 PFT Subgroup,http://www3.cde.ca.gov/pftresearchfiles/pftresearchfiles99.zip,,csv
