CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170109835,2,F,1,0,0708
01100170109835,2,M,2,0,0708
01100170109835,6,F,4,1,0708
01100170109835,6,M,1,1,0708
01100170109835,5,F,5,0,0708
01100170109835,5,M,3,0,0708
01100170109835,8,F,8,0,0708
01100170109835,8,M,5,2,0708
01100170109835,7,F,6,4,0708
01100170109835,7,M,4,1,0708
01100170130401,2,M,1,0,0708
01100170130401,6,F,3,0,0708
01100170130401,6,M,3,0,0708
01100170130401,5,M,1,0,0708
01100170130419,6,M,1,0,0708
01100170130419,4,M,3,0,0708
01100170130419,5,F,6,0,0708
01100170130419,5,M,3,0,0708
01100170130419,3,F,1,0,0708
01100170130427,6,F,4,0,0708
01100170130427,5,F,13,0,0708
01100170130427,7,F,2,0,0708
01316170131763,6,M,1,0,0708
01316170131763,5,F,2,0,0708
01316170131763,5,M,1,0,0708
01316170131763,7,F,4,0,0708
01316170131763,7,M,6,0,0708
01611190106401,2,F,5,5,0708
01611190106401,2,M,6,5,0708
01611190106401,6,F,2,2,0708
01611190106401,6,M,2,1,0708
01611190106401,4,F,2,2,0708
01611190106401,4,M,2,1,0708
01611190106401,5,M,3,2,0708
01611190106401,3,M,1,0,0708
01611190106401,7,F,1,1,0708
01611190106401,7,M,3,3,0708
01611190130229,2,F,115,77,0708
01611190130229,2,M,79,45,0708
01611190130229,6,F,11,3,0708
01611190130229,6,M,11,2,0708
01611190130229,4,F,15,7,0708
01611190130229,4,M,14,5,0708
01611190130229,5,F,29,11,0708
01611190130229,5,M,17,5,0708
01611190130229,3,F,3,1,0708
01611190130229,3,M,2,1,0708
01611190130229,7,F,87,49,0708
01611190130229,7,M,62,29,0708
01611190130609,2,F,2,2,0708
01611190130609,2,M,1,1,0708
01611190130609,6,M,3,3,0708
01611190130609,4,F,1,1,0708
01611190130609,4,M,1,0,0708
01611190130609,7,F,8,7,0708
01611190130609,7,M,14,13,0708
01611190130625,2,M,1,1,0708
01611190130625,6,F,1,1,0708
01611190130625,6,M,1,1,0708
01611190130625,5,F,4,4,0708
01611190130625,5,M,8,8,0708
01611190130625,1,M,1,1,0708
01611190130625,8,F,1,1,0708
01611190130625,7,F,2,2,0708
01611190130625,7,M,4,4,0708
01611190132878,2,F,26,20,0708
01611190132878,2,M,22,15,0708
01611190132878,6,F,18,7,0708
01611190132878,6,M,29,10,0708
01611190132878,4,F,17,7,0708
01611190132878,4,M,20,11,0708
01611190132878,5,F,10,4,0708
01611190132878,5,M,12,4,0708
01611190132878,1,F,2,1,0708
01611190132878,3,F,5,2,0708
01611190132878,3,M,1,0,0708
01611190132878,7,F,20,10,0708
01611190132878,7,M,24,14,0708
01611190134304,2,F,3,0,0708
01611190134304,2,M,3,0,0708
01611190134304,6,F,3,0,0708
01611190134304,6,M,8,0,0708
01611190134304,4,F,2,0,0708
01611190134304,4,M,4,0,0708
01611190134304,5,F,2,0,0708
01611190134304,5,M,3,0,0708
01611190134304,3,M,3,0,0708
01611190134304,7,F,3,0,0708
01611190134304,7,M,13,0,0708
01611270130294,2,F,1,0,0708
01611270130294,2,M,2,0,0708
01611270130294,6,F,2,0,0708
01611270130294,6,M,2,0,0708
01611270130294,5,F,2,0,0708
01611270130294,5,M,1,0,0708
01611270130294,8,F,1,0,0708
01611270130294,7,F,1,0,0708
01611270130294,7,M,6,0,0708
01611270130450,2,F,43,35,0708
01611270130450,2,M,51,32,0708
