table,seq,column,is_pk,is_fk,id,type,size,description
grads08,1,id,1,,t000002J01,INTEGER,,2007-08 Year of Graduate Data
grads08,2,cds_code,,,c000002J01002,INTEGER64,14,CDS_CODE
grads08,3,ethnic,,,c000002J01003,INTEGER,1,ETHNIC
grads08,4,gender,,,c000002J01004,VARCHAR,1,GENDER
grads08,5,grads,,,c000002J01005,INTEGER,3,GRADS
grads08,6,uc_grads,,,c000002J01006,INTEGER,3,UC_GRADS
grads08,7,year,,,c000002J01007,VARCHAR,4,YEAR
,,,,,,,,
grads07,1,id,1,,t000002J02,INTEGER,,2006-07 Year of Graduate Data
grads07,2,cds_code,,,c000002J02002,INTEGER64,14,CDS_CODE
grads07,3,ethnic,,,c000002J02003,INTEGER,1,ETHNIC
grads07,4,gender,,,c000002J02004,VARCHAR,1,GENDER
grads07,5,grads,,,c000002J02005,INTEGER,3,GRADS
grads07,6,uc_grads,,,c000002J02006,INTEGER,3,UC_GRADS
grads07,7,year,,,c000002J02007,VARCHAR,4,YEAR
,,,,,,,,
grads02,1,id,1,,t000002J03,INTEGER,,2001-02 Year of Graduate Data
grads02,2,cds_code,,,c000002J03002,INTEGER64,14,CDS_CODE
grads02,3,ethnic,,,c000002J03003,INTEGER,1,ETHNIC
grads02,4,gender,,,c000002J03004,VARCHAR,1,GENDER
grads02,5,grads,,,c000002J03005,INTEGER,3,GRADS
grads02,6,uc_grads,,,c000002J03006,INTEGER,3,UC_GRADS
grads02,7,year,,,c000002J03007,VARCHAR,4,YEAR
,,,,,,,,
grads99,1,id,1,,t000002J04,INTEGER,,1998-99 Year of Graduate Data
grads99,2,cds_code,,,c000002J04002,INTEGER64,14,CDS_CODE
grads99,3,ethnic,,,c000002J04003,INTEGER,1,ETHNIC
grads99,4,gender,,,c000002J04004,VARCHAR,1,GENDER
grads99,5,grads,,,c000002J04005,INTEGER,3,GRADS
grads99,6,uc_grads,,,c000002J04006,INTEGER,3,UC_GRADS
grads99,7,year,,,c000002J04007,VARCHAR,4,YEAR
,,,,,,,,
grads98,1,id,1,,t000002J05,INTEGER,,1997-98 Year of Graduate Data
grads98,2,cds_code,,,c000002J05002,INTEGER64,14,CDS_CODE
grads98,3,ethnic,,,c000002J05003,INTEGER,1,ETHNIC
grads98,4,gender,,,c000002J05004,VARCHAR,1,GENDER
grads98,5,grads,,,c000002J05005,INTEGER,3,GRADS
grads98,6,uc_grads,,,c000002J05006,INTEGER,3,UC_GRADS
grads98,7,year,,,c000002J05007,VARCHAR,4,YEAR
,,,,,,,,
grads97,1,id,1,,t000002J06,INTEGER,,1996-97 Year of Graduate Data
grads97,2,cds_code,,,c000002J06002,INTEGER64,14,CDS_CODE
grads97,3,ethnic,,,c000002J06003,INTEGER,1,ETHNIC
grads97,4,gender,,,c000002J06004,VARCHAR,1,GENDER
