name,title,table,segment,time,space,grain,start_line,end_line,comment_lines,header_lines,description,url,ref
grads93,,,,,,,,,,,1992-93 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1992-93&cCat=Graduates&cPage=filesgrads,
grads94,,,,,,,,,,,1993-94 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1993-94&cCat=Graduates&cPage=filesgrads,
grads95,,,,,,,,,,,1994-95 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1994-95&cCat=Graduates&cPage=filesgrads,
grads96,,,,,,,,,,,1995-96 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1995-96&cCat=Graduates&cPage=filesgrads,
grads97,,,,,,,,,,,1996-97 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1996-97&cCat=Graduates&cPage=filesgrads,
grads98,,,,,,,,,,,1997-98 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1997-98&cCat=Graduates&cPage=filesgrads,
grads99,,,,,,,,,,,1998-99 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1998-99&cCat=Graduates&cPage=filesgrads,
grads00,,,,,,,,,,,1999-2000 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=1999-00&cCat=Graduates&cPage=filesgrads,
grads01,,,,,,,,,,,2000-01 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2000-01&cCat=Graduates&cPage=filesgrads,
grads02,,,,,,,,,,,2001-02 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2001-02&cCat=Graduates&cPage=filesgrads,
grads03,,,,,,,,,,,2002-03 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2002-03&cCat=Graduates&cPage=filesgrads,
grads04,,,,,,,,,,,2003-04 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2003-04&cCat=Graduates&cPage=filesgrads,
grads05,,,,,,,,,,,2004-05 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2004-05&cCat=Graduates&cPage=filesgrads,
grads06,,,,,,,,,,,2005-06 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2005-06&cCat=Graduates&cPage=filesgrads,
grads07,,,,,,,,,,,2006-07 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2006-07&cCat=Graduates&cPage=filesgrads,
grads08,,,,,,,,,,,2007-08 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2007-08&cCat=Graduates&cPage=filesgrads,
grads09,,,,,,,,,,,2008-09 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2008-09&cCat=Graduates&cPage=filesgrads,
grads10,,,,,,,,,,,2009-10 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2009-10&cCat=Graduates&cPage=filesgrads,
grads11,,,,,,,,,,,2010-11 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2010-11&cCat=Graduates&cPage=filesgrads,
grads12,,,,,,,,,,,2012-13 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2012-13&cCat=Graduates&cPage=filesgrads,
grads14,,,,,,,,,,,2013-14 Year of Graduate Data,http://dq.cde.ca.gov/dataquest/dlfile/dlfile.aspx?cLevel=All&cYear=2013-14&cCat=Graduates&cPage=filesgrads,
